Pathogen,table_id,Food_category,Year,Serotype,Burden,Trajectory,Year_range,No_of_illnesses,Burden_sort_order,Trajectory_sort_order,Master_sort_order
Salmonella,Chicken_Saintpaul_2012-2016,Chicken,2021,Saintpaul,Low,Decreased,2012-2016,70,3,3,9
Salmonella,Chicken_Saintpaul_2017-2021,Chicken,2021,Saintpaul,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Chicken_Schwarzengrund_2012-2016,Chicken,2021,Schwarzengrund,Low,Decreased,2012-2016,16,3,3,9
Salmonella,Chicken_Schwarzengrund_2017-2021,Chicken,2021,Schwarzengrund,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Typhimurium_2012-2016,Pork,2021,Typhimurium,High,Stable,2012-2016,331,1,2,2
Salmonella,Pork_Typhimurium_2017-2021,Pork,2021,Typhimurium,High,Stable,2017-2021,184,1,2,2
Salmonella,"Pork_I 4,[5],12:i:-_2012-2016",Pork,2021,"I 4,[5],12:i:-",High,Decreased,2012-2016,484,1,3,3
Salmonella,"Pork_I 4,[5],12:i:-_2017-2021",Pork,2021,"I 4,[5],12:i:-",High,Decreased,2017-2021,165,1,3,3
Salmonella,Pork_Muenchen_2012-2016,Pork,2021,Muenchen,High,Increased,2012-2016,0,1,1,1
Salmonella,Pork_Muenchen_2017-2021,Pork,2021,Muenchen,High,Increased,2017-2021,99,1,1,1
Salmonella,Pork_Infantis_2012-2016,Pork,2021,Infantis,Moderate,Increased,2012-2016,10,2,1,4
Salmonella,Pork_Infantis_2017-2021,Pork,2021,Infantis,Moderate,Increased,2017-2021,85,2,1,4
Salmonella,Pork_Adelaide_2012-2016,Pork,2021,Adelaide,Low,Increased,2012-2016,14,3,1,7
Salmonella,Pork_Adelaide_2017-2021,Pork,2021,Adelaide,Low,Increased,2017-2021,48,3,1,7
Salmonella,Pork_Berta_2012-2016,Pork,2021,Berta,Low,Increased,2012-2016,0,3,1,7
Salmonella,Pork_Berta_2017-2021,Pork,2021,Berta,Low,Increased,2017-2021,30,3,1,7
Salmonella,Pork_Schwarzengrund_2012-2016,Pork,2021,Schwarzengrund,Low,Increased,2012-2016,0,3,1,7
Salmonella,Pork_Schwarzengrund_2017-2021,Pork,2021,Schwarzengrund,Low,Increased,2017-2021,30,3,1,7
Salmonella,Pork_Eastbourne_2012-2016,Pork,2021,Eastbourne,Low,Increased,2012-2016,0,3,1,7
Salmonella,Pork_Eastbourne_2017-2021,Pork,2021,Eastbourne,Low,Increased,2017-2021,21,3,1,7
Salmonella,Pork_Muenster_2012-2016,Pork,2021,Muenster,Low,Increased,2012-2016,0,3,1,7
Salmonella,Pork_Muenster_2017-2021,Pork,2021,Muenster,Low,Increased,2017-2021,4,3,1,7
Salmonella,Pork_Agona_2012-2016,Pork,2021,Agona,Low,Decreased,2012-2016,15,3,3,9
Salmonella,Pork_Agona_2017-2021,Pork,2021,Agona,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Braenderup_2012-2016,Pork,2021,Braenderup,Low,Decreased,2012-2016,8,3,3,9
Salmonella,Pork_Braenderup_2017-2021,Pork,2021,Braenderup,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Enteritidis_2012-2016,Pork,2021,Enteritidis,Low,Decreased,2012-2016,41,3,3,9
Salmonella,Pork_Enteritidis_2017-2021,Pork,2021,Enteritidis,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Goldcoast_2012-2016,Pork,2021,Goldcoast,Low,Decreased,2012-2016,12,3,3,9
Salmonella,Pork_Goldcoast_2017-2021,Pork,2021,Goldcoast,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Javiana_2012-2016,Pork,2021,Javiana,Low,Decreased,2012-2016,41,3,3,9
Salmonella,Pork_Javiana_2017-2021,Pork,2021,Javiana,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Mbandaka_2012-2016,Pork,2021,Mbandaka,Low,Decreased,2012-2016,27,3,3,9
Salmonella,Pork_Mbandaka_2017-2021,Pork,2021,Mbandaka,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Newport_2012-2016,Pork,2021,Newport,Low,Decreased,2012-2016,20,3,3,9
Salmonella,Pork_Newport_2017-2021,Pork,2021,Newport,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Thompson_2012-2016,Pork,2021,Thompson,Low,Decreased,2012-2016,11,3,3,9
Salmonella,Pork_Thompson_2017-2021,Pork,2021,Thompson,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Pork_Uganda_2012-2016,Pork,2021,Uganda,Low,Decreased,2012-2016,19,3,3,9
Salmonella,Pork_Uganda_2017-2021,Pork,2021,Uganda,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Turkey_Enteritidis_2012-2016,Turkey,2021,Enteritidis,High,Increased,2012-2016,74,1,1,1
Salmonella,Turkey_Enteritidis_2017-2021,Turkey,2021,Enteritidis,High,Increased,2017-2021,584,1,1,1
Salmonella,Turkey_Reading_2012-2016,Turkey,2021,Reading,High,Increased,2012-2016,17,1,1,1
Salmonella,Turkey_Reading_2017-2021,Turkey,2021,Reading,High,Increased,2017-2021,367,1,1,1
