Pathogen,table_id,Food_category,Year,Serotype,Burden,Trajectory,Year_range,No_of_illnesses,Burden_sort_order,Trajectory_sort_order,Master_sort_order
Salmonella,Pork_Adelaide_2011-2015,Pork,2020,Adelaide,Moderate,Increased,2011-2015,14,2,1,4
Salmonella,Pork_Adelaide_2016-2020,Pork,2020,Adelaide,Moderate,Increased,2016-2020,48,2,1,4
Salmonella,Pork_Javiana_2011-2015,Pork,2020,Javiana,Moderate,Increased,2011-2015,0,2,1,4
Salmonella,Pork_Javiana_2016-2020,Pork,2020,Javiana,Moderate,Increased,2016-2020,41,2,1,4
Salmonella,Pork_Berta_2011-2015,Pork,2020,Berta,Low,Increased,2011-2015,0,3,1,7
Salmonella,Pork_Berta_2016-2020,Pork,2020,Berta,Low,Increased,2016-2020,30,3,1,7
Salmonella,Pork_Schwarzengrund_2011-2015,Pork,2020,Schwarzengrund,Low,Increased,2011-2015,0,3,1,7
Salmonella,Pork_Schwarzengrund_2016-2020,Pork,2020,Schwarzengrund,Low,Increased,2016-2020,30,3,1,7
Salmonella,Pork_Eastbourne_2011-2015,Pork,2020,Eastbourne,Low,Increased,2011-2015,0,3,1,7
Salmonella,Pork_Eastbourne_2016-2020,Pork,2020,Eastbourne,Low,Increased,2016-2020,21,3,1,7
Salmonella,Pork_Newport_2011-2015,Pork,2020,Newport,Low,Increased,2011-2015,0,3,1,7
Salmonella,Pork_Newport_2016-2020,Pork,2020,Newport,Low,Increased,2016-2020,20,3,1,7
Salmonella,Pork_Goldcoast_2011-2015,Pork,2020,Goldcoast,Low,Increased,2011-2015,0,3,1,7
Salmonella,Pork_Goldcoast_2016-2020,Pork,2020,Goldcoast,Low,Increased,2016-2020,12,3,1,7
Salmonella,Pork_Muenster_2011-2015,Pork,2020,Muenster,Low,Increased,2011-2015,0,3,1,7
Salmonella,Pork_Muenster_2016-2020,Pork,2020,Muenster,Low,Increased,2016-2020,4,3,1,7
Salmonella,Pork_Agona_2011-2015,Pork,2020,Agona,Low,Decreased,2011-2015,15,3,3,9
Salmonella,Pork_Agona_2016-2020,Pork,2020,Agona,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Pork_Braenderup_2011-2015,Pork,2020,Braenderup,Low,Decreased,2011-2015,8,3,3,9
Salmonella,Pork_Braenderup_2016-2020,Pork,2020,Braenderup,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Pork_Derby_2011-2015,Pork,2020,Derby,Low,Decreased,2011-2015,35,3,3,9
Salmonella,Pork_Derby_2016-2020,Pork,2020,Derby,Low,Decreased,2016-2020,0,3,3,9
Salmonella,Pork_Enteritidis_2011-2015,Pork,2020,Enteritidis,Low,Decreased,2011-2015,127,3,3,9
Salmonella,Pork_Enteritidis_2016-2020,Pork,2020,Enteritidis,Low,Decreased,2016-2020,0,3,3,9
